id,mural_title,school_name,borough,neighborhood,lat,lng,year,artist_names,students_involved,image_url,detail_url
405,Bed-Stuy Walls: Cousins,Antioch Baptist Church,Brooklyn,Bedford-Stuyvesant,40.6900368,-73.9348475,2022,"Michela Muserra, Marissa Molina, Andrea Amanda, Joshua Gabriel, Ashley Crawford, Nico Collazo",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/bedstuy-banner4-e1755915543130.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/bed-stuy-walls-series-cousins-4/
406,Bed-Stuy Walls: Cousins,Antioch Baptist Church,Brooklyn,Bedford-Stuyvesant,40.6900368,-73.9348475,2022,"Michela Muserra, Marissa Molina, Andrea Amanda, Joshua Gabriel, Ashley Crawford, Nico Collazo",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/bedstuy-banner4-e1755915543130.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/bed-stuy-walls-series-cousins-3/
407,Loisaida Center: Loisaida,Loisaida Center,Manhattan,Alphabet City,40.7251022,-73.9795833,2022,"Marissa Molina, Andrea Amanda, Merari Hernandez, Joshua Gabriel, Danny Diodato, Sydney Tirado",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/09/boone-ave-2025-family-feature.jpeg?resize=560%2C315&ssl=1,https://www.thrivecollective.org/portfolio/loisaida/
408,PS 9: Bronx All Stars,PS 9,Bronx,Fordham Heights,40.8568025,-73.8989065,2022,"Daze, Andre Trenier, Marthalicia",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2022/06/20220529_190446-1-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/ps-9-floor-2-bronx-all-stars/
409,PS 9: Bronx All Stars,PS 9,Bronx,Fordham Heights,40.8568025,-73.8989065,2022,"André Trenier, Daze, Marthalicia, Crash, Giannina Guiterrez",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/2nd-floor-wide-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/ps-9-bronx-all-stars-2-of-3/
410,PS 9: Bronx All Stars,PS 9,Bronx,Fordham Heights,40.8568025,-73.8989065,2022,"Marthalicea, Andre Trenier, Daze, Marthalicia, Crash, Giannina Guiterrez",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/2nd-floor-wide-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/ps-9-bronx-all-stars-3-of-3/
411,PS 9: Welcome to the Bronx,PS 9,Bronx,Fordham Heights,40.8568025,-73.8989065,2022,Tats Cru,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/52652633971_6f30dcbbbd_o.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/ps-9-welcome-to-the-bronx-1-of-3/
412,PS 9: Welcome to the Bronx,PS 9,Bronx,Fordham Heights,40.8568025,-73.8989065,2022,Tats Cru,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/20220529_190847-scaled.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/ps-9-welcome-to-the-bronx-2/
413,PS 9: Welcome to the Bronx,PS 9,Bronx,Fordham Heights,40.8568025,-73.8989065,2022,Tats Cru,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2022/06/20220604_181033-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/ps-9-welcome-to-the-bronx-3/
414,PS 9: Global Citizens,PS 9,Bronx,Fordham Heights,40.8568025,-73.8989065,2022,Crash,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/09/boone-ave-2025-family-feature.jpeg?resize=560%2C315&ssl=1,https://www.thrivecollective.org/portfolio/ps-9-floor-3-global-citizens/
415,PS 9: Global Citizens,PS 9,Bronx,Fordham Heights,40.8568025,-73.8989065,2022,Giannina Gutierrez,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/09/boone-ave-2025-family-feature.jpeg?resize=560%2C315&ssl=1,https://www.thrivecollective.org/portfolio/ps-9-global-citizens-2-of-2/
416,Judith S. Kaye HS: Hopes and Dreams,Judith S. Kaye High School,Manhattan,El Barrio,40.6837136,-73.8007697,2022,"Kristy McCarthy, Emily Gooden, Pips",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2022/05/IMG_7274-scaled-e1674510354491.jpg?fit=1920%2C776&ssl=1,https://www.thrivecollective.org/portfolio/kaye-hopes-and-dreams/
417,"Coney Island Gospel Assembly: Faith, Hope, and Love (Compiled)",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"the Tats Cru, Marissa Molina, Plushie, Joshua Gabriel, Andrea Amanda, Jodi Dareal, Colleen Kong-Savage, Merari Hernández, Sydney Tirado, May Bukowski, Nico Collazo",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/hope.png?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-trailers/
418,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,Tats Cru,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/faith-love-hope-progress.png?fit=1434%2C805&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-tats-cru/
419,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"Marissa Molina, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/20220914_063847-1-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love-marissa/
420,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"Jodi Dareal, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/48A79E5E-66E1-4CB3-A94F-F3EF88079596-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love-5/
421,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"Andrea Amanda, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/mural-thrive.png?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love-8/
422,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"Nico Collazo, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/IMG_5676-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love-6/
423,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"May Bukowski, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/Thrive-gospel-sketch.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love-4/
424,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"Plushie, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/Untitled_Artwork-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love-3/
425,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"Colleen Kong-Savage, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/CKS_Gospel_marissa-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love-2/
426,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"Joshua Gabriel, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/thrive-tr-sketch-joshua-gabriel-jG.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love/
427,"Coney Island Gospel Assembly: Faith, Hope, and Love",Coney Island Gospel Assembly,Brooklyn,Coney Island,40.5775028,-73.9955306,2022,"Sydney Tirado, Lase, Nicer, Bio",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/IMG_0253-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/coney-island-gospel-assembly-faith-hope-and-love-7/
428,Ascendant Neighborhood Development Corp: Ascend,,Manhattan,East Harlem,40.7957399,-73.9389213,2022,André Trenier,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/IMG-0231-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/ascend/
